Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
30,141,30,May 1,ATL,,SDP,W5-1,7-GF,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.274,.389,.491,.879,9,1.31,0.051,0.59,4.00,6.70,PH LF
31,142,31,May 2,ATL,,SDP,L2-11,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.273,.385,.482,.866,4,.48,-0.043,0.07,3.00,3.00,CF LF
32,143,32,May 3,ATL,@,MIA,W7-2,CG,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.270,.378,.470,.847,4,.42,0.005,-0.50,5.00,6.20,LF
33,144,33,May 4,ATL,@,MIA,W9-2,GS-7,4,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.294,.396,.487,.883,4,.75,0.118,1.17,14.00,15.20,LF
34,145,35 (1),May 6,ATL,@,LAD,L3-5,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.285,.385,.472,.856,4,.72,-0.076,-0.76,0.00,0.00,LF
35,146,36,May 7,ATL,@,LAD,L0-9,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.278,.377,.460,.837,4,.59,-0.046,-0.80,0.00,0.00,LF
36,147,37,May 8,ATL,@,LAD,L4-9,CG,4,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.277,.373,.477,.850,4,1.58,0.005,0.46,16.00,22.20,CF
37,148,38,May 9,ATL,@,ARI,L2-3,CG(10),4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.276,.370,.478,.848,4,.95,-0.016,-0.04,5.00,6.00,LF
38,149,39,May 10,ATL,@,ARI,W2-1,CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.275,.367,.493,.860,1,.92,0.212,0.33,14.00,18.70,LF
39,150,40,May 11,ATL,@,ARI,W6-4,CG,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.280,.368,.490,.858,1,.67,0.004,0.01,6.00,6.00,LF
40,151,41,May 12,ATL,@,ARI,W5-3,CG,5,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.279,.369,.483,.852,1,.76,0.053,0.40,7.00,9.20,LF
41,152,42,May 14,ATL,,STL,L3-14,CG,4,3,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,.273,.366,.473,.840,1,.50,-0.038,0.28,4.00,6.50,LF CF
42,153,43,May 15,ATL,,STL,W4-0,CG,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,.273,.364,.468,.831,1,1.03,0.116,0.82,15.00,18.20,CF
43,154,44,May 16,ATL,,STL,W10-2,CG,5,4,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,.278,.370,.468,.839,1,.44,-0.012,1.27,12.00,15.70,CF
44,155,45,May 17,ATL,,MIL,W12-8,CG,6,4,2,3,1,0,0,3,1,0,0,1,0,0,0,0,0,0,.290,.385,.481,.867,1,.52,0.069,3.22,25.00,34.90,CF
45,156,46,May 18,ATL,,MIL,W4-3,CG(10),5,5,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,.281,.375,.467,.842,1,1.20,-0.061,-0.32,2.00,3.20,CF
46,157,47,May 19,ATL,,MIL,L2-3,CG(10),4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.281,.372,.480,.852,1,1.10,0.000,0.45,14.00,18.70,CF
47,158,48,May 20,ATL,@,SFG,W4-1,CG,5,4,2,3,1,0,2,2,1,0,1,0,0,0,0,0,0,0,.291,.383,.526,.909,1,.52,0.192,2.11,35.00,46.40,CF
48,159,49,May 21,ATL,@,SFG,L3-4,CG,5,4,1,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,.296,.388,.525,.913,1,.76,0.023,0.06,15.00,18.20,CF
49,160,50,May 22,ATL,@,SFG,W9-2,CG,5,4,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.290,.384,.514,.898,1,.57,0.073,0.70,6.00,9.40,CF
50,161,51,May 23,ATL,@,SFG,W5-4,CG(13),6,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.280,.373,.497,.871,1,1.27,-0.198,-1.06,0.00,0.00,CF
51,162,52,May 24,ATL,@,STL,W5-2,CG,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.278,.369,.490,.859,1,.94,-0.080,-0.99,5.00,6.20,CF
52,163,53,May 25,ATL,@,STL,L3-6,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.274,.367,.482,.849,1,.99,-0.048,-0.46,2.00,3.00,CF
53,164,54,May 26,ATL,@,STL,W4-3,CG(10),5,5,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.277,.368,.480,.848,1,1.57,-0.150,-0.66,6.00,6.00,CF
54,165,55,May 28,ATL,,WSN,L4-5,CG,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.275,.364,.473,.838,1,1.32,-0.088,-0.24,8.00,9.00,CF
55,166,56,May 29,ATL,,WSN,L4-14,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.270,.358,.464,.823,1,.24,-0.025,-1.28,0.00,0.00,CF
56,167,57,May 31,ATL,,DET,L2-8,CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.274,.361,.465,.826,1,.81,0.038,0.57,13.00,15.20,CF
57,168,58,Jun 1,ATL,,DET,W10-5,CG,5,5,0,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,.277,.361,.464,.825,1,1.00,0.146,2.25,12.00,16.50,CF
58,169,59,Jun 2,ATL,,DET,W7-4,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.277,.360,.460,.820,1,1.24,-0.054,-0.39,3.00,3.00,CF
59,170,60,Jun 4,ATL,@,PIT,W12-5,CG,6,4,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,.281,.367,.465,.832,1,1.42,0.063,1.46,19.00,24.20,CF
60,171,61,Jun 5,ATL,@,PIT,L4-7,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.280,.365,.474,.839,1,.41,-0.037,0.36,14.00,18.70,CF
61,172,62,Jun 6,ATL,@,PIT,L1-6,CG,5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.280,.366,.470,.836,1,.99,-0.049,-0.12,5.00,6.00,CF
62,173,63,Jun 7,ATL,@,MIA,W7-1,CG,5,5,1,3,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.286,.370,.485,.855,1,.62,0.110,2.45,24.00,31.70,CF
63,174,64,Jun 8,ATL,@,MIA,W1-0,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.282,.365,.478,.842,1,1.10,-0.115,-1.02,0.00,0.00,CF
64,175,65,Jun 9,ATL,@,MIA,W7-6,CG(12),7,6,1,1,0,0,1,3,1,0,2,0,0,0,0,0,0,0,.279,.363,.482,.845,1,1.64,0.250,0.50,20.00,28.70,CF
65,176,66,Jun 10,ATL,,PIT,W13-7,CG,5,5,1,1,0,0,1,4,0,0,3,0,0,0,0,0,0,0,.277,.360,.488,.848,1,.83,0.208,2.05,20.00,29.20,CF
66,177,67,Jun 11,ATL,,PIT,W7-5,CG(8),4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.281,.362,.492,.854,1,.65,-0.018,0.39,13.00,15.00,CF
67,178,68,Jun 12,ATL,,PIT,W8-7,CG(11),6,5,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,1,.283,.365,.491,.855,1,1.46,-0.047,-0.51,8.00,9.00,CF
68,179,69,Jun 13,ATL,,PIT,W6-5,CG,5,5,1,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,.285,.365,.493,.858,1,.88,-0.042,-0.23,10.00,12.20,CF
69,180,70,Jun 14,ATL,,PHI,W9-8,CG,5,5,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.287,.366,.495,.860,1,1.20,-0.032,-0.14,10.00,12.20,CF
70,181,71,Jun 15,ATL,,PHI,L5-6,CG,5,4,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.287,.366,.491,.857,1,1.52,-0.020,0.25,9.00,12.40,CF
71,182,72,Jun 16,ATL,,PHI,W15-1,CG,6,5,4,4,0,0,1,2,0,0,0,1,0,0,0,0,0,0,.296,.375,.507,.882,1,.44,0.090,3.22,33.00,43.80,CF
72,183,73,Jun 17,ATL,,NYM,W12-3,CG,6,5,1,3,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.301,.380,.519,.899,1,.57,0.048,1.37,24.00,31.20,CF
73,184,74,Jun 18,ATL,,NYM,L2-10,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.297,.376,.512,.888,1,.32,-0.034,-1.02,0.00,0.00,CF
74,185,75,Jun 19,ATL,,NYM,W7-2,CG,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.293,.373,.505,.878,1,.61,-0.050,-1.26,2.00,3.00,CF
75,186,76,Jun 21,ATL,@,WSN,L3-4,CG,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.289,.371,.498,.869,1,2.26,-0.192,-0.87,2.00,3.00,CF
76,187,77,Jun 22,ATL,@,WSN,W13-9,CG,6,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.288,.370,.493,.863,1,1.01,-0.040,-0.45,9.00,12.40,CF
77,188,78,Jun 23,ATL,@,WSN,W4-3,CG(10),5,5,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.286,.368,.498,.866,1,1.25,-0.013,-0.15,14.00,18.70,CF
78,189,79,Jun 24,ATL,@,CHC,L3-8,CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.289,.369,.498,.867,1,.87,0.041,0.35,13.00,15.20,CF
79,190,80,Jun 25,ATL,@,CHC,W3-2,CG,4,3,1,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,.289,.370,.506,.877,1,1.26,0.085,0.85,16.00,21.70,CF
80,191,81,Jun 26,ATL,@,CHC,W5-3,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,.287,.369,.502,.871,1,.87,0.056,0.32,9.00,12.20,CF
81,192,82,Jun 27,ATL,@,CHC,L7-9,CG,5,3,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.287,.372,.503,.875,1,.74,0.046,0.65,13.00,18.40,CF
82,193,83,Jun 28,ATL,@,NYM,W6-2,CG,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.286,.370,.498,.868,1,.71,-0.011,-0.35,10.00,12.20,CF
83,194,84,Jun 29,ATL,@,NYM,W5-4,CG,5,5,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.290,.373,.503,.876,1,1.03,0.034,0.59,15.00,18.40,CF
84,195,85,Jun 30,ATL,@,NYM,L5-8,CG,5,5,3,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,.295,.376,.513,.889,1,1.04,0.198,1.61,29.00,37.10,CF
85,196,86,Jul 2,ATL,,PHI,L0-2,CG,4,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.292,.375,.509,.883,1,1.16,-0.100,-0.73,2.00,3.00,CF
86,197,87,Jul 3,ATL,,PHI,W9-2,CG,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.292,.373,.506,.879,1,.50,-0.055,-0.49,3.00,3.00,CF
87,198,88,Jul 4,ATL,,PHI,W12-6,CG,5,4,2,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,.291,.374,.503,.877,1,.60,0.043,0.04,9.00,12.40,CF
88,199,89,Jul 5,ATL,,MIA,W1-0,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.291,.373,.500,.873,1,1.20,-0.001,0.06,3.00,3.00,CF
89,200,90,Jul 6,ATL,,MIA,L4-5,CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.291,.371,.506,.877,1,1.30,-0.021,0.30,14.00,18.70,CF
90,201,91,Jul 7,ATL,,MIA,W4-3,CG,5,2,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.292,.377,.506,.882,1,.69,0.058,1.16,11.00,15.20,CF
91,202,92,Jul 12,ATL,@,SDP,W5-3,CG,4,4,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,.291,.375,.511,.886,1,.51,0.019,0.43,14.00,18.70,CF
92,203,93,Jul 13,ATL,@,SDP,W7-5,CG(10),6,6,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,.289,.372,.514,.886,1,1.00,0.069,-0.34,14.00,18.70,CF
93,204,94,Jul 14,ATL,@,SDP,W4-1,CG,5,5,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,.291,.373,.512,.885,1,1.39,0.087,0.14,13.00,15.20,CF
94,205,95,Jul 15,ATL,@,MIL,W4-2,CG,5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.290,.373,.509,.882,1,.83,-0.008,-0.12,7.00,9.20,CF
95,206,96,Jul 16,ATL,@,MIL,L1-13,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.290,.372,.507,.878,1,1.14,-0.017,-0.29,13.00,15.00,CF
96,207,97,Jul 17,ATL,@,MIL,L4-5,CG,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.287,.370,.501,.871,1,1.33,-0.140,-1.69,7.00,9.00,CF
97,208,98,Jul 18,ATL,,WSN,L4-13,CG,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.286,.368,.497,.865,1,.48,0.027,-1.18,10.00,12.20,LF
98,209,99,Jul 19,ATL,,WSN,W4-3,CG,5,4,2,3,1,0,0,1,1,0,0,0,0,0,0,0,1,1,.290,.373,.503,.875,1,1.24,0.201,1.63,24.00,30.90,CF LF
99,210,100,Jul 20,ATL,,WSN,L3-5,CG,5,4,1,2,0,0,0,0,1,0,1,0,0,0,0,0,2,0,.293,.375,.503,.878,1,1.39,0.018,0.66,20.00,24.20,CF
100,211,101,Jul 21,ATL,,WSN,W7-1,CG,5,4,2,2,0,0,1,2,1,0,2,0,0,0,0,0,0,0,.295,.378,.510,.888,1,.42,-0.031,1.21,23.00,31.40,LF
101,212,102,Jul 23,ATL,,KCR,L4-5,CG,5,3,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,.292,.378,.506,.884,1,2.02,-0.092,-0.24,11.00,15.20,CF
102,213,103,Jul 24,ATL,,KCR,L0-2,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.292,.377,.504,.881,1,1.30,-0.105,-0.71,3.00,3.00,LF CF
103,214,104,Jul 26,ATL,@,PHI,W9-2,CG,5,4,2,2,0,0,0,3,1,0,1,0,0,0,0,0,1,0,.294,.379,.504,.883,1,.71,0.127,2.37,23.00,31.90,LF
104,215,105,Jul 27,ATL,@,PHI,W15-7,CG,6,5,2,2,0,0,1,3,1,0,2,0,0,0,0,0,0,0,.295,.381,.510,.890,1,.32,0.125,2.36,25.00,34.90,RF
105,216,106,Jul 28,ATL,@,PHI,L4-9,GS-7,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.295,.380,.507,.887,1,.79,-0.028,-0.53,8.00,9.00,RF
106,217,107,Jul 29,ATL,@,WSN,L3-6,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.292,.377,.502,.879,1,.52,-0.056,-0.62,0.00,0.00,CF RF
107,218,108,Jul 30,ATL,@,WSN,W11-8,CG,6,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,.289,.374,.497,.871,1,.41,-0.067,-1.74,2.00,3.00,RF
108,219,109,Jul 31,ATL,@,WSN,W5-4,CG(10),5,5,1,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,.290,.374,.498,.872,1,1.00,0.132,1.02,17.00,21.70,RF
109,220,110,Aug 1,ATL,,CIN,W4-1,CG(6),4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,.290,.373,.498,.871,1,.60,-0.001,-0.31,7.00,9.20,RF
110,221,111,Aug 2,ATL,,CIN,L2-5,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.289,.372,.502,.875,1,.72,0.010,0.37,14.00,18.70,CF
111,222,112,Aug 3,ATL,,CIN,W5-4,CG(10),6,5,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,.288,.372,.499,.871,1,2.12,0.517,1.01,9.00,13.00,RF
112,223,113,Aug 4,ATL,,CIN,L4-6,CG(10),5,5,1,2,1,0,1,2,0,0,2,0,0,0,0,0,0,0,.289,.372,.507,.879,1,1.24,0.460,1.74,21.00,28.20,RF
113,224,114,Aug 5,ATL,@,MIN,L3-5,CG,5,5,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.291,.372,.505,.878,1,1.28,0.041,-0.07,8.00,9.20,RF CF
114,225,115,Aug 6,ATL,@,MIN,W12-7,CG,6,5,4,3,0,0,1,2,1,0,1,0,0,0,0,0,1,0,.294,.376,.513,.889,1,.41,0.152,2.77,35.00,46.80,RF
115,226,116,Aug 7,ATL,@,MIN,W11-7,CG,5,5,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.293,.374,.516,.890,1,.32,-0.003,1.14,16.00,22.20,RF
116,227,117,Aug 8,ATL,@,MIA,L2-9,CG,4,4,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.295,.375,.522,.897,1,.44,-0.041,0.91,17.00,21.70,RF
117,228,118,Aug 9,ATL,@,MIA,W8-4,CG,5,5,2,3,0,0,2,4,0,0,2,0,0,0,0,0,0,0,.298,.377,.535,.912,1,.62,0.154,2.99,35.00,47.40,RF
118,229,119,Aug 10,ATL,@,MIA,L6-7,CG(10),5,3,1,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,.296,.377,.532,.909,1,.85,-0.066,-0.30,16.00,21.20,RF
119,230,120,Aug 11,ATL,@,MIA,W5-4,CG,4,4,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.298,.378,.538,.916,1,.97,0.055,0.42,19.00,24.90,RF
120,231,121,Aug 13,ATL,,NYM,W5-3,CG,5,5,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.299,.378,.543,.921,1,.56,0.065,0.49,19.00,24.90,LF RF
121,232,122,Aug 14,ATL,,NYM,W6-4,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.298,.377,.540,.918,1,.87,-0.035,-0.05,5.00,6.50,RF
122,233,123,Aug 15,ATL,,NYM,L8-10,CG,5,4,2,1,0,0,1,2,1,0,3,0,0,0,0,0,0,0,.298,.378,.544,.922,1,.36,-0.006,1.66,20.00,28.40,LF RF
123,234,124,Aug 16,ATL,,LAD,L3-8,CG,5,5,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,.297,.376,.541,.917,1,.88,0.034,0.29,10.00,12.50,LF CF
124,235,125,Aug 17,ATL,,LAD,W4-3,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.295,.375,.537,.913,1,1.08,-0.057,-0.56,4.00,6.20,CF
125,236,126,Aug 18,ATL,,LAD,W5-3,GS-5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,.296,.376,.537,.913,1,1.37,0.031,0.43,3.00,3.00,CF
126,237,127,Aug 20,ATL,,MIA,W5-1,CG,5,4,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,.296,.376,.537,.913,1,.83,-0.002,0.07,9.00,12.20,CF RF
127,238,128,Aug 21,ATL,,MIA,W5-0,CG,4,3,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,1,.296,.377,.542,.918,1,.53,0.030,0.79,18.00,25.20,CF
128,239,129,Aug 22,ATL,,MIA,W3-2,CG,5,4,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.296,.377,.539,.916,1,1.83,0.283,0.46,7.00,9.50,CF
129,240,130,Aug 23,ATL,@,NYM,W2-1,CG(14),7,4,0,1,0,0,0,0,3,0,2,0,0,0,0,0,1,0,.295,.379,.537,.916,1,1.79,-0.052,0.12,14.00,18.00,CF RF
130,241,131,Aug 24,ATL,@,NYM,W9-5,CG,5,5,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,.294,.378,.534,.912,1,1.52,0.288,1.19,5.00,6.50,CF RF
131,242,132,Aug 25,ATL,@,NYM,W2-1,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.292,.375,.530,.905,1,.68,-0.068,-0.72,0.00,0.00,CF RF
132,243,133,Aug 26,ATL,@,COL,L1-3,CG,5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,.290,.374,.526,.900,1,1.79,-0.170,-0.93,7.00,9.00,CF
