Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
133,244,134,Aug 27,ATL,@,TOR,L1-3,CG,5,5,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,.289,.372,.525,.897,1,2.06,-0.209,-1.37,5.00,6.00,RF
134,245,135,Aug 28,ATL,@,TOR,W9-4,CG,5,5,1,1,1,0,0,2,0,0,3,0,0,0,0,0,0,0,.288,.371,.524,.895,1,.67,0.026,0.25,11.00,16.20,RF
135,246,136,Aug 30,ATL,,CHW,W10-7,CG,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.368,.519,.887,1,.48,-0.069,-1.89,0.00,0.00,CF RF
136,247,137,Aug 31,ATL,,CHW,W11-5,7-GF,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.286,.367,.519,.886,9,1.11,0.011,-0.17,2.00,3.50,PH RF
137,248,138,Sep 1,ATL,,CHW,W5-3,CG,4,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,.284,.367,.516,.883,1,1.03,-0.032,-0.24,16.00,21.40,RF
138,249,139,Sep 2,ATL,,TOR,W6-3,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.282,.364,.513,.877,1,.76,-0.104,-1.23,0.00,0.00,CF RF
139,250,140,Sep 3,ATL,,TOR,W7-2,CG,5,4,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,.282,.365,.514,.879,1,.60,0.080,0.48,14.00,18.40,CF RF
140,251,141,Sep 5,ATL,,WSN,W4-2,CG,4,4,2,2,0,0,1,1,0,0,1,0,0,0,0,1,1,0,.283,.365,.519,.885,1,.84,0.068,0.55,24.00,30.90,CF RF
141,252,142,Sep 6,ATL,,WSN,W4-3,CG,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.283,.364,.517,.881,1,.83,-0.108,-1.53,3.00,3.00,CF RF
142,253,143,Sep 7,ATL,,WSN,W5-4,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.281,.362,.513,.875,1,.75,-0.076,-1.14,0.00,0.00,CF RF
143,254,144,Sep 8,ATL,,WSN,L4-9,GS-8,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.280,.362,.511,.873,1,.58,-0.022,-0.24,2.00,3.00,CF
144,255,145,Sep 9,ATL,@,PHI,W7-2,CG,5,3,3,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,.280,.364,.515,.879,1,.53,0.110,1.11,22.00,31.10,CF RF
145,256,146,Sep 10,ATL,@,PHI,L5-6,CG,5,5,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,.283,.365,.516,.882,1,1.15,-0.022,0.25,11.00,12.20,CF
146,257,147,Sep 11,ATL,@,PHI,W3-1,CG,5,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,.282,.367,.514,.882,1,.65,-0.028,-0.39,6.00,9.00,CF RF
147,258,148,Sep 12,ATL,@,PHI,L5-9,CG,5,5,2,1,0,0,1,1,0,0,1,0,0,0,1,0,2,0,.281,.366,.517,.883,1,.88,0.136,1.32,26.00,33.90,CF
148,259,149,Sep 13,ATL,@,WSN,W5-0,CG,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.280,.365,.514,.879,1,.67,-0.042,-1.21,5.00,6.20,CF
149,260,150,Sep 14,ATL,@,WSN,W10-1,CG,6,6,1,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,.279,.363,.512,.875,1,.99,0.185,0.56,11.00,16.20,CF
150,261,151,Sep 15,ATL,@,WSN,L0-7,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.278,.361,.509,.870,1,.42,-0.045,-0.96,0.00,0.00,CF
151,262,152,Sep 17,ATL,,PHI,L4-5,CG,5,4,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,.277,.361,.509,.870,1,2.07,0.248,0.63,12.00,15.00,CF
152,263,153,Sep 18,ATL,,PHI,L1-4,CG,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.279,.362,.509,.871,1,.69,-0.010,-0.25,6.00,6.00,CF
153,264,154,Sep 19,ATL,,PHI,W5-4,CG,4,3,2,1,0,0,1,2,1,0,2,0,0,0,0,0,0,0,.279,.363,.513,.876,1,1.14,0.192,1.68,20.00,28.40,CF
154,265,155,Sep 20,ATL,,SFG,W6-0,CG,4,2,3,2,1,0,1,2,2,0,0,0,0,0,0,0,0,0,.281,.366,.521,.887,1,.61,0.171,2.83,29.00,40.60,CF
155,266,156,Sep 21,ATL,,SFG,W8-1,CG,4,3,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.280,.366,.518,.884,1,.56,-0.025,-0.62,4.00,6.20,RF
156,267,158 (1),Sep 24,ATL,@,KCR,L6-9,GS-3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.280,.365,.518,.883,1,.87,-0.023,-0.26,0.00,0.00,CF
